id,insee_code,town_name,zip_code,routing_label,line_5,geopoint
27292,08413,SERAINCOURT,08220,SERAINCOURT,NULL,0101000020E6100000A90DF38A4CBD1040D3ABB7BC28CF4840
27293,08413,SERAINCOURT,08220,SERAINCOURT,FOREST,0101000020E6100000A90DF38A4CBD1040D3ABB7BC28CF4840
27294,08415,SERY,08270,SERY,NULL,0101000020E610000014CD5E11576D1140965BFF5396CB4840
27295,08416,SEUIL,08300,SEUIL,NULL,0101000020E6100000029B73F04CCC11407A31395AFABC4840
27296,08417,SEVIGNY LA FORET,08230,SEVIGNY LA FORET,NULL,0101000020E6100000982C9386BFE31140D276A79688F04840
27297,08418,SEVIGNY WALEPPE,08220,SEVIGNY WALEPPE,NULL,0101000020E61000004271112917581040E213A1C7DECE4840
27298,08419,SIGNY L ABBAYE,08460,SIGNY L ABBAYE,NULL,0101000020E61000007730629F009A11401CFD1EABCAD94840
27299,08419,SIGNY L ABBAYE,08460,SIGNY L ABBAYE,LIBRECY,0101000020E61000007730629F009A11401CFD1EABCAD94840
27300,08420,SIGNY LE PETIT,08380,SIGNY LE PETIT,NULL,0101000020E610000043D0871D7C371140306A526573F74840
27301,08420,SIGNY LE PETIT,08380,SIGNY LE PETIT,LA GRUERIE,0101000020E610000043D0871D7C371140306A526573F74840
27302,08421,SIGNY MONTLIBERT,08370,SIGNY MONTLIBERT,NULL,0101000020E61000006AE91BE2694315405589B2B714CA4840
27303,08422,SINGLY,08430,SINGLY,NULL,0101000020E61000009E9ED21CB4D612404E863EB37FD24840
27304,08424,SOMMAUTHE,08240,SOMMAUTHE,NULL,0101000020E610000036D07CCEDDF213408ADA47B85AC04840
27305,08425,SOMMERANCE,08250,SOMMERANCE,NULL,0101000020E610000090B1C9D067FA1340124251EADCA94840
27306,08426,SON,08300,SON,NULL,0101000020E61000005A79138DFF14114024754C2723CA4840
27307,08427,SORBON,08300,SORBON,NULL,0101000020E61000000051D5A9977411404B13002DA7C64840
27308,08428,SORCY BAUTHEMONT,08270,SORCY BAUTHEMONT,NULL,0101000020E6100000A8902BF52C2412405470784144C54840
27309,08429,SORMONNE,08150,SORMONNE,NULL,0101000020E6100000CD06F41D574212407CA5E2B581E74840
27310,08430,STONNE,08390,STONNE,NULL,0101000020E6100000520DA0843EB51340A0AC736781C64840
27311,08431,SUGNY,08400,SUGNY,NULL,0101000020E610000082305CC246A212403E2F26474BAD4840
27312,08432,SURY,08090,SURY,NULL,0101000020E61000002049FF8128721240B60595021CE24840
27313,08433,SUZANNE,08130,SUZANNE,NULL,0101000020E6100000734DDC8541901240A5468DAE77C24840
27314,08434,SY,08390,SY,NULL,0101000020E6100000156D33BA287F13406A59AD02EBC14840
27315,08435,TAGNON,08300,TAGNON,NULL,0101000020E6100000D4861E8C33291140CF656A12BCB94840
27316,08436,TAILLETTE,08230,TAILLETTE,NULL,0101000020E6100000BA4B3D66FBE711407CE761B282F64840
27317,08437,TAILLY,08240,TAILLY,NULL,0101000020E610000016687748314414403A69D08632B54840
